state_fips,pop55,n_tracts,pct_zero_trials_within_60rdmi,pct_lt20_trials_within_60rdmi,pct_lt100_trials_within_60rdmi,pct_in_zero_trial_county,pct_gt60rdmi_broad_menu,pct_gt120rdmi_broad_menu,pct_gt60rdmi_limited_menu,pct_gt60rdmi_nci,pct_gt120rdmi_nci,pct_no_road_route_broad,pct_no_road_route_nci,median_road_mi_nci,median_road_mi_broad_menu,median_road_mi_limited_menu,wmean_trials_within_60rdmi,wmean_trials_within_30rdmi,wmean_trials_within_120rdmi,wmean_trials_in_own_county,modal_nearest_nci,modal_nearest_broad,wmean_t60_cancer_type_bladder_urothelial,wmean_t60_cancer_type_brain_cns,wmean_t60_cancer_type_breast,wmean_t60_cancer_type_colorectal,wmean_t60_cancer_type_gastric_esophageal,wmean_t60_cancer_type_gynecologic,wmean_t60_cancer_type_head_neck,wmean_t60_cancer_type_kidney,wmean_t60_cancer_type_leukemia,wmean_t60_cancer_type_liver_biliary,wmean_t60_cancer_type_lung,wmean_t60_cancer_type_lymphoma,wmean_t60_cancer_type_mds_mpn,wmean_t60_cancer_type_melanoma_skin,wmean_t60_cancer_type_myeloma,wmean_t60_cancer_type_neuroendocrine_endocrine,wmean_t60_cancer_type_other_named,wmean_t60_cancer_type_pancreatic,wmean_t60_cancer_type_prostate,wmean_t60_cancer_type_sarcoma,wmean_t60_cancer_type_multi,wmean_t60_cancer_type_other_unclassified,wmean_t60_phase_1,wmean_t60_phase_1-2,wmean_t60_phase_2,wmean_t60_phase_2-3,wmean_t60_phase_3,wmean_t60_phase_4,wmean_t60_phase_NA,wmean_t60_sponsor_academic_other,wmean_t60_sponsor_industry,wmean_t60_sponsor_nih_federal
01,1551428,1437,13.1,54.1,71.0,52.2,71.1,26.7,53.7,70.8,26.5,0.0,0.0,92.0,93.0,65.0,58.0,34.0,246.0,25.0,O'Neal Comprehensive Cancer Center (UAB),"Jefferson, Alabama",3.0,1.0,8.0,3.0,1.0,8.0,2.0,1.0,7.0,2.0,9.0,3.0,3.0,1.0,6.0,1.0,0.0,3.0,2.0,3.0,14.0,1.0,9.0,9.0,18.0,3.0,17.0,0.0,2.0,17.0,37.0,4.0
02,187882,177,49.1,49.5,100.0,62.1,100.0,100.0,49.5,100.0,100.0,100.0,100.0,999.0,999.0,56.0,27.0,20.0,28.0,20.0,NO ROAD CONNECTION,NO ROAD CONNECTION,1.0,1.0,4.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,8.0,2.0,18.0,0.0,0.0,13.0,11.0,4.0
04,2229655,1765,15.1,23.2,25.8,10.0,23.2,15.3,18.5,26.9,17.2,0.2,0.2,32.0,0.0,0.0,229.0,125.0,292.0,222.0,Mayo Clinic Cancer Center – Phoenix,"Maricopa, Arizona",13.0,11.0,31.0,24.0,9.0,18.0,13.0,10.0,12.0,10.0,38.0,18.0,5.0,13.0,16.0,6.0,8.0,15.0,22.0,11.0,60.0,1.0,47.0,36.0,48.0,8.0,84.0,2.0,4.0,56.0,161.0,12.0
05,908855,823,20.1,33.5,98.0,52.0,97.5,86.2,33.6,96.9,85.3,0.0,0.0,182.0,186.0,40.0,47.0,26.0,102.0,19.0,St. Jude Children's Research Hospital,"Shelby, Tennessee",4.0,1.0,6.0,2.0,1.0,6.0,3.0,2.0,2.0,0.0,10.0,3.0,0.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,7.0,0.0,3.0,3.0,13.0,3.0,23.0,0.0,1.0,17.0,23.0,7.0
06,10768047,9129,3.4,6.1,22.4,4.3,23.0,9.2,5.9,23.1,9.0,0.0,0.0,25.0,0.0,0.0,507.0,299.0,745.0,323.0,USC Norris Comprehensive Cancer Center,"Los Angeles, California",28.0,17.0,66.0,43.0,29.0,47.0,31.0,19.0,45.0,22.0,97.0,49.0,17.0,27.0,23.0,11.0,10.0,32.0,44.0,23.0,152.0,3.0,128.0,93.0,126.0,19.0,127.0,2.0,11.0,140.0,330.0,37.0
08,1581463,1447,9.3,14.0,36.1,14.0,35.6,16.0,14.5,42.2,17.3,0.0,0.0,45.0,33.0,0.0,272.0,203.0,368.0,64.0,University of Colorado Cancer Center,"Denver, Colorado",18.0,6.0,32.0,27.0,17.0,24.0,15.0,10.0,19.0,10.0,52.0,19.0,5.0,17.0,21.0,7.0,5.0,18.0,26.0,10.0,88.0,2.0,74.0,54.0,45.0,12.0,85.0,1.0,1.0,56.0,200.0,17.0
09,1169078,880,0.0,0.0,0.2,9.4,0.1,0.0,0.0,4.7,0.0,0.0,0.0,31.0,28.0,0.0,569.0,219.0,1377.0,118.0,Yale Cancer Center,"New Haven, Connecticut",27.0,21.0,79.0,41.0,24.0,57.0,42.0,17.0,40.0,16.0,104.0,43.0,14.0,24.0,32.0,12.0,12.0,29.0,47.0,21.0,168.0,6.0,144.0,93.0,152.0,18.0,142.0,3.0,18.0,189.0,340.0,40.0
10,343484,262,0.0,0.0,46.3,0.0,50.4,0.2,0.0,50.7,0.0,0.0,0.0,66.0,64.0,0.0,301.0,115.0,1138.0,53.0,Sidney Kimmel Cancer Center (Jefferson),"Philadelphia, Pennsylvania",20.0,7.0,34.0,22.0,10.0,29.0,17.0,7.0,22.0,10.0,57.0,26.0,5.0,12.0,14.0,8.0,6.0,15.0,27.0,10.0,71.0,2.0,63.0,40.0,74.0,11.0,97.0,2.0,14.0,107.0,167.0,28.0
11,151648,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,879.0,684.0,1020.0,208.0,Georgetown Lombardi Comprehensive Cancer Center,"District of Columbia, District of Columbia",45.0,32.0,112.0,80.0,45.0,97.0,55.0,27.0,55.0,40.0,206.0,52.0,14.0,39.0,33.0,33.0,19.0,69.0,68.0,41.0,330.0,8.0,234.0,176.0,203.0,24.0,211.0,2.0,29.0,189.0,564.0,126.0
12,7606967,5160,0.6,7.3,22.8,8.0,30.6,10.2,10.2,46.6,16.3,0.0,0.0,55.0,35.0,0.0,267.0,153.0,462.0,108.0,Moffitt Cancer Center,"Hillsborough, Florida",14.0,9.0,36.0,22.0,11.0,29.0,18.0,7.0,21.0,8.0,57.0,22.0,8.0,15.0,13.0,5.0,4.0,15.0,18.0,8.0,68.0,2.0,51.0,39.0,65.0,11.0,93.0,2.0,6.0,61.0,188.0,18.0
